# subtask-1 listing — status: decomposed | in-progress
# generated: 2026-04-18T12:58:40Z
# task: 788-758-subtask-1-status (parent chain: 730-717-status-done-edit)

## Summary
- decomposed: 141
- in-progress: 0

## Files

### 473-469-graphviewcontainer-wheel-pointer-handler.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/473-469-graphviewcontainer-wheel-pointer-handler.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 469-138-
  depends: subtask-2
  summary: GraphViewContainerのwheel/pointer handlerを新関数呼び出しに置換

### 475-473-wheel-handler-scale-computezoomstep.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/475-473-wheel-handler-scale-computezoomstep.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 473-469-graphviewcontainer-wheel-pointer-handler
  depends: none
  summary: wheel handler の scale 直接代入を computeZoomStep 呼び出しに置換

### 477-473-pointerup-handler-applypaninertia-raf.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/477-473-pointerup-handler-applypaninertia-raf.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 473-469-graphviewcontainer-wheel-pointer-handler
  depends: subtask-2
  summary: pointerup handler で applyPanInertia rAF ループを起動

### 479-475-wheel-handler-scale.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/479-475-wheel-handler-scale.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 475-473-wheel-handler-scale-computezoomstep
  depends: none
  summary: wheel handler 内の scale 直接代入箇所を特定・記録

### 483-475-god-object.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/483-475-god-object.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 475-473-wheel-handler-scale-computezoomstep
  depends: subtask-2
  summary: 単体テスト実行と GOD OBJECT 上限遵守確認

### 484-477-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/484-477-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 477-473-pointerup-handler-applypaninertia-raf
  depends: none
  summary: subtask

### 486-477-pan-inertia-raf.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/486-477-pan-inertia-raf.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 477-473-pointerup-handler-applypaninertia-raf
  depends: subtask-1
  summary: pan inertia rAF ループの動作検証テスト追加

### 489-483-pnpm-test.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/489-483-pnpm-test.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 483-475-god-object
  depends: none
  summary: pnpm test 実行と全テストパス確認

### 491-483-god-object-graphviewcontainer-ts-8612.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/491-483-god-object-graphviewcontainer-ts-8612.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 483-475-god-object
  depends: subtask-2
  summary: GOD OBJECT 行数上限確認 (GraphViewContainer.ts ≤ 8612)

### 492-483-pnpm-build-800kb.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/492-483-pnpm-build-800kb.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 483-475-god-object
  depends: subtask-3
  summary: pnpm build でバンドルサイズ 800KB 予算内確認

### 501-491-.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/501-491-.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 491-483-god-object-graphviewcontainer-ts-8612
  depends: none
  summary: 行数計測と上限判定レポート作成

### 502-491-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/502-491-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 491-483-god-object-graphviewcontainer-ts-8612
  depends: none
  summary: subtask

### 504-491-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/504-491-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 491-483-god-object-graphviewcontainer-ts-8612
  depends: none
  summary: subtask

### 506-492-pnpm-build.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/506-492-pnpm-build.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 492-483-pnpm-build-800kb
  depends: none
  summary: pnpm build 実行とバンドルサイズ計測

### 507-492-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/507-492-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 492-483-pnpm-build-800kb
  depends: none
  summary: subtask

### 509-492-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/509-492-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 492-483-pnpm-build-800kb
  depends: none
  summary: subtask

### 510-506-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/510-506-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 506-492-pnpm-build
  depends: none
  summary: subtask

### 511-506-pnpm-build-main-js.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/511-506-pnpm-build-main-js.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 506-492-pnpm-build
  depends: none
  summary: pnpm build を実行して main.js のバイト数を取得

### 513-506-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/513-506-subtask.md
  priority: medium
  reported: 2026-04-17
