id,priority,reported,completed,status,source,parent,depends,superseded_by,summary,attempt_count,description_path,created_at,updated_at
1138-135-showorphans-false-smoke-test,high,2026-04-19,,done,decomposed,135-e2e-smoke-fail,none,,showOrphans=false smoke test失敗の根本原因調査,0,scripts/pipeline/descriptions/1138-135-showorphans-false-smoke-test.md,2026-04-19T09:28:10+09:00,2026-04-26T00:25:02+09:00
1145-137-pantonode-animatetonode-raf-id,high,2026-04-19,,done,decomposed,137-uncancellable-raf-chains,none,,panToNode/_animateToNode の rAF ID 保存とキャンセル対応,0,scripts/pipeline/descriptions/1145-137-pantonode-animatetonode-raf-id.md,2026-04-19T09:57:33+09:00,2026-04-26T00:32:30+09:00
1149-139-baseline-node-count-2000,high,2026-04-19,,done,decomposed,139-e2e-smoke-fail,none,,baseline node countフィルタ経路を計測して2000未満の原因を特定,0,scripts/pipeline/descriptions/1149-139-baseline-node-count-2000.md,2026-04-19T12:02:50+09:00,2026-04-25T22:47:31+09:00
1153-134-searchorchestrator-panel-sections-export,medium,2026-04-19,,done,decomposed,134-dead-exports,none,,SearchOrchestrator と panel-sections 系の未使用export削除,0,scripts/pipeline/descriptions/1153-134-searchorchestrator-panel-sections-export.md,2026-04-19T12:11:05+09:00,2026-04-26T02:05:03+09:00
1154-1149-getgraphdata-nodecount,high,2026-04-19,,done,decomposed,1149-139-baseline-node-count-2000,none,,getGraphData() 各段階の nodeCount トレース (詳細は子タスク 1157 参照),0,scripts/pipeline/descriptions/1154-1149-getgraphdata-nodecount.md,2026-04-19T12:21:43+09:00,2026-04-25T22:47:31+09:00
1161-140-panelbuilder-createdefaultpanel-179,medium,2026-04-19,,done,decomposed,140-giant-functions,none,,PanelBuilder.createDefaultPanel (179行) を既定値テーブルに分離,0,scripts/pipeline/descriptions/1161-140-panelbuilder-createdefaultpanel-179.md,2026-04-19T12:51:50+09:00,2026-04-25T22:47:31+09:00
1167-1159-buildedgedisplaysection,high,2026-04-19,,done,decomposed,1159-140-panel-sections-display-ts-buildedgedispl,subtask-1,,buildEdgeDisplaySection を縮小ラッパーに置き換え,0,scripts/pipeline/descriptions/1167-1159-buildedgedisplaysection.md,2026-04-19T13:13:53+09:00,2026-04-25T22:47:31+09:00
1168-1159-panel-sections-edge-display,medium,2026-04-19,,done,decomposed,1159-140-panel-sections-display-ts-buildedgedispl,subtask-2,,panel-sections-edge-display のユニットテスト追加,0,scripts/pipeline/descriptions/1168-1159-panel-sections-edge-display.md,2026-04-19T13:13:53+09:00,2026-04-25T22:47:31+09:00
1170-1164-buildnodestab-ctx-4-40,high,2026-04-19,,done,decomposed,1164-1158-panelbuilder-buildnodestab-4,subtask-1,,_buildNodesTab を ctx 組み立て + 4関数呼び出しの <40行 に縮小,0,scripts/pipeline/descriptions/1170-1164-buildnodestab-ctx-4-40.md,2026-04-19T13:31:53+09:00,2026-04-25T22:47:31+09:00
1172-1167-buildedgedisplaysection-4,high,2026-04-20,,done,decomposed,1167-1159-buildedgedisplaysection,subtask-1 (parent: 1159-140),,buildEdgeDisplaySection を4ヘルパー呼び出しの薄いラッパーに置換,0,scripts/pipeline/descriptions/1172-1167-buildedgedisplaysection-4.md,2026-04-20T06:51:47+09:00,2026-04-25T22:47:31+09:00
1174-1168-buildedgelabelcontrols-buildedgecolorcon,high,2026-04-20,,done,decomposed,1168-1159-panel-sections-edge-display,subtask-1,,buildEdgeLabelControls + buildEdgeColorControls の3テスト追加,0,scripts/pipeline/descriptions/1174-1168-buildedgelabelcontrols-buildedgecolorcon.md,2026-04-20T06:56:49+09:00,2026-04-25T22:47:31+09:00
1175-1168-buildedgevisibilitycontrols-3,high,2026-04-20,,done,decomposed,1168-1159-panel-sections-edge-display,subtask-2,,buildEdgeVisibilityControls の3テスト追加 + 全体回帰確認,0,scripts/pipeline/descriptions/1175-1168-buildedgevisibilitycontrols-3.md,2026-04-20T06:56:49+09:00,2026-04-25T22:47:31+09:00
1188-141-src-views,medium,2026-04-24,,blocked,decomposed,141-coverage-drop,none,,src/views/ から抽出済み純粋関数モジュールの追加テスト,0,scripts/pipeline/descriptions/1188-141-src-views.md,2026-04-24T03:07:51+09:00,2026-04-26T02:20:02+09:00
1195-142-src-utils,high,2026-04-24,,done,decomposed,142-coverage-drop,none,,src/utils/ の未テスト純粋関数にテスト追加してカバレッジ向上,0,scripts/pipeline/descriptions/1195-142-src-utils.md,2026-04-24T04:07:57+09:00,2026-04-25T22:47:31+09:00
1205-145-cluster-force-ts-export,high,2026-04-24,,done,decomposed,145-coverage-drop,none,,cluster-force.ts の純粋関数を export し境界値テストを追加,0,scripts/pipeline/descriptions/1205-145-cluster-force-ts-export.md,2026-04-24T07:34:03+09:00,2026-04-25T22:47:31+09:00
1217-133-panel-sections-ts-dom-as-htmlinputelemen,high,2026-04-24,,done,decomposed,133-type-assertions,none,,panel-sections*.ts の DOM イベント as HTMLInputElement を型ガードヘルパー化,0,scripts/pipeline/descriptions/1217-133-panel-sections-ts-dom-as-htmlinputelemen.md,2026-04-24T08:39:58+09:00,2026-04-26T00:44:05+09:00
1220-143-constants-ts,medium,2026-04-24,,done,decomposed,143-scattered-constants,none,,レイアウト系定数を constants.ts に集約,0,scripts/pipeline/descriptions/1220-143-constants-ts.md,2026-04-24T08:49:38+09:00,2026-04-25T22:47:31+09:00
1234-1231-pathfinder-overlay-ts-12-constants-ts-pa,high,2026-04-24,,cancelled,decomposed,1231-1221-pathfinder-overlay-12-node-decorations-1,none,,pathfinder-overlay.ts の定数12個を constants.ts に PATHFINDER_ プレフィクスで集約,0,scripts/pipeline/descriptions/1234-1231-pathfinder-overlay-ts-12-constants-ts-pa.md,2026-04-24T09:30:40+09:00,2026-04-26T08:52:07+09:00
1235-1231-node-decorations-ts-11-constants-ts-node,high,2026-04-24,,done,decomposed,1231-1221-pathfinder-overlay-12-node-decorations-1,subtask-1,,node-decorations.ts の定数11個を constants.ts に NODE_DECO_ プレフィクスで集約,0,scripts/pipeline/descriptions/1235-1231-node-decorations-ts-11-constants-ts-node.md,2026-04-24T09:30:40+09:00,2026-04-26T09:42:10+09:00
1236-1234-pathfinder-overlay-ts-12-src-constants-t,high,2026-04-24,,cancelled,decomposed,1234-1231-pathfinder-overlay-ts-12-constants-ts-pa,none,,pathfinder-overlay.ts から 12 個の描画定数を抽出し src/constants.ts に PATHFINDER_ プレフィクスで追加,0,scripts/pipeline/descriptions/1236-1234-pathfinder-overlay-ts-12-src-constants-t.md,2026-04-24T12:01:17+09:00,2026-04-26T08:52:07+09:00
1237-1234-pathfinder-overlay-ts-pathfinder-import,high,2026-04-24,,cancelled,decomposed,1234-1231-pathfinder-overlay-ts-12-constants-ts-pa,subtask-1,,pathfinder-overlay.ts のインラインリテラルを PATHFINDER_ 定数 import に置換,0,scripts/pipeline/descriptions/1237-1234-pathfinder-overlay-ts-pathfinder-import.md,2026-04-24T12:01:17+09:00,2026-04-26T08:52:07+09:00
1238-1235-constants-ts-node-deco-11,high,2026-04-24,,done,decomposed,1235-1231-node-decorations-ts-11-constants-ts-node,none,,constants.ts に NODE_DECO_ プレフィクスで 11 個の定数を追加,0,scripts/pipeline/descriptions/1238-1235-constants-ts-node-deco-11.md,2026-04-24T12:05:44+09:00,2026-04-26T09:42:10+09:00
1239-1235-node-decorations-ts-node-deco,high,2026-04-24,,done,decomposed,1235-1231-node-decorations-ts-11-constants-ts-node,subtask-1,,node-decorations.ts のインラインリテラルを NODE_DECO_ 定数参照に置換,0,scripts/pipeline/descriptions/1239-1235-node-decorations-ts-node-deco.md,2026-04-24T12:05:44+09:00,2026-04-25T22:47:31+09:00
1240-1236-src-constants-ts-pathfinder-12,high,2026-04-24,,cancelled,decomposed,1236-1234-pathfinder-overlay-ts-12-src-constants-t,none,,src/constants.ts に PATHFINDER_ プレフィクスで描画定数12個を追加,0,scripts/pipeline/descriptions/1240-1236-src-constants-ts-pathfinder-12.md,2026-04-24T12:39:19+09:00,2026-04-26T08:52:07+09:00
1241-1237-pathfinder-overlay-ts-pathfinder-import,high,2026-04-24,,cancelled,decomposed,1237-1234-pathfinder-overlay-ts-pathfinder-import,subtask-1 of parent (constants定義完了済みであること),,pathfinder-overlay.ts に PATHFINDER_* 定数 import を追加し、該当するインラインリテラルを各箇所 Read で文脈確認しながら定数参照に置換する,0,scripts/pipeline/descriptions/1241-1237-pathfinder-overlay-ts-pathfinder-import.md,2026-04-24T23:32:18+09:00,2026-04-26T08:52:07+09:00
1242-1237-pathfinder-overlay-ts-lint-test,high,2026-04-24,,cancelled,decomposed,1237-1234-pathfinder-overlay-ts-pathfinder-import,subtask-2-impl,,pathfinder-overlay.ts 置換後の lint / test / 行数検証を行い、問題があれば修正する,0,scripts/pipeline/descriptions/1242-1237-pathfinder-overlay-ts-lint-test.md,2026-04-24T23:32:18+09:00,2026-04-26T08:52:07+09:00
1243-1238-node-decorations-ts-11,high,2026-04-24,,done,decomposed,1238-1235-constants-ts-node-deco-11,none,,node-decorations.ts を精読しインライン数値リテラルを11個特定する,0,scripts/pipeline/descriptions/1243-1238-node-decorations-ts-11.md,2026-04-24T23:34:22+09:00,2026-04-26T09:42:10+09:00
1244-1238-constants-ts-node-deco-11,high,2026-04-24,,done,decomposed,1238-1235-constants-ts-node-deco-11,subtask-1,,constants.ts に NODE_DECO_* 定数を11個追加する,0,scripts/pipeline/descriptions/1244-1238-constants-ts-node-deco-11.md,2026-04-24T23:34:22+09:00,2026-04-26T00:49:18+09:00
1245-1239-node-decorations-ts-node-deco,high,2026-04-24,,done,decomposed,1239-1235-node-decorations-ts-node-deco,none,,node-decorations.ts の NODE_DECO_* 対応リテラル位置を特定してマッピング表を作成,0,scripts/pipeline/descriptions/1245-1239-node-decorations-ts-node-deco.md,2026-04-24T23:57:52+09:00,2026-04-26T00:51:54+09:00
1246-1240-src-constants-ts-pathfinder-12,high,2026-04-25,,cancelled,decomposed,1240-1236-src-constants-ts-pathfinder-12,none,,src/constants.ts に PATHFINDER_ プレフィクスの描画定数12個を追加する,0,scripts/pipeline/descriptions/1246-1240-src-constants-ts-pathfinder-12.md,2026-04-25T00:11:14+09:00,2026-04-26T08:52:07+09:00
1247-1241-pathfinder-overlay-ts-import,high,2026-04-25,,cancelled,decomposed,1241-1237-pathfinder-overlay-ts-pathfinder-import,none,,pathfinder-overlay.ts のインラインリテラル出現箇所を精読して置換候補リストを作成し、import 文を追加する,0,scripts/pipeline/descriptions/1247-1241-pathfinder-overlay-ts-import.md,2026-04-25T00:22:21+09:00,2026-04-26T08:52:07+09:00
1248-1241-pathfinder-overlay-ts-pathfinder,high,2026-04-25,,cancelled,decomposed,1241-1237-pathfinder-overlay-ts-pathfinder-import,subtask-1,,pathfinder-overlay.ts 内のインラインリテラルを PATHFINDER_ 定数参照へ置換する,0,scripts/pipeline/descriptions/1248-1241-pathfinder-overlay-ts-pathfinder.md,2026-04-25T00:22:21+09:00,2026-04-26T08:52:07+09:00
1249-1242-pathfinder-overlay-ts-lint,high,2026-04-25,,cancelled,decomposed,1242-1237-pathfinder-overlay-ts-lint-test,none,,pathfinder-overlay.ts の lint エラーを確認し、自動修正と手動修正で解消する,0,scripts/pipeline/descriptions/1249-1242-pathfinder-overlay-ts-lint.md,2026-04-25T00:41:59+09:00,2026-04-26T08:52:08+09:00
1250-1242-pnpm-test-pathfinder-overlay,high,2026-04-25,,cancelled,decomposed,1242-1237-pathfinder-overlay-ts-lint-test,subtask-1,,pnpm test を実行し、pathfinder-overlay 関連の失敗があれば修正する,0,scripts/pipeline/descriptions/1250-1242-pnpm-test-pathfinder-overlay.md,2026-04-25T00:41:59+09:00,2026-04-26T08:52:08+09:00
